PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,PEOPLE_DEATH_NEW_COUNT,COUNTRY_SHORT_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
548318,6/29/20,380,India,19459,16475
52812,6/28/20,37,Indonesia,1385,2720
133978,6/28/20,34,Bangladesh,3504,1695
1313667,6/28/20,1109,Brazil,38693,57070
528859,6/28/20,410,India,19906,16095
63923,6/28/20,88,Egypt,1168,2708
202955,6/28/20,83,Pakistan,4072,4118
2033,6/28/20,0,Sri Lanka,19,11
130474,6/27/20,40,Bangladesh,3868,1661
1274974,6/27/20,990,Brazil,46860,55961
198883,6/27/20,73,Pakistan,3138,4035
62755,6/27/20,87,Egypt,1625,2620
508953,6/27/20,384,India,18552,15685
51427,6/27/20,63,Indonesia,1240,2683
2014,6/27/20,0,Sri Lanka,4,11
126606,6/26/20,39,Bangladesh,3946,1621
2010,6/26/20,0,Sri Lanka,9,11
195745,6/26/20,59,Pakistan,2775,3962
61130,6/26/20,168,Egypt,2989,2533
50187,6/26/20,47,Indonesia,1178,2620
1228114,6/26/20,1141,Brazil,39483,54971
490401,6/26/20,407,India,17296,15301
122660,6/25/20,37,Bangladesh,3462,1582
58141,6/25/20,0,Egypt,0,2365
49009,6/25/20,38,Indonesia,1113,2573
192970,6/25/20,148,Pakistan,4044,3903
2001,6/25/20,0,Sri Lanka,10,11
473105,6/25/20,418,India,16922,14894
1188631,6/25/20,1185,Brazil,42725,53830
1145906,6/24/20,1374,Brazil,39436,52645
1991,6/24/20,0,Sri Lanka,40,11
58141,6/24/20,87,Egypt,1332,2365
188926,6/24/20,60,Pakistan,3892,3755
456183,6/24/20,465,India,15968,14476
47896,6/24/20,35,Indonesia,1051,2535
119198,6/24/20,43,Bangladesh,3412,1545
46845,6/23/20,35,Indonesia,954,2500
56809,6/23/20,85,Egypt,1576,2278
185034,6/23/20,105,Pakistan,3946,3695
1106470,6/23/20,654,Brazil,21432,51271
1951,6/23/20,0,Sri Lanka,1,11
440215,6/23/20,312,India,14933,14011
115786,6/23/20,38,Bangladesh,3480,1502
1950,6/22/20,0,Sri Lanka,0,11
55233,6/22/20,87,Egypt,1475,2193
425282,6/22/20,445,India,14821,13699
1085038,6/22/20,641,Brazil,17459,50617
45891,6/22/20,36,Indonesia,862,2465
181088,6/22/20,89,Pakistan,4471,3590
112306,6/22/20,39,Bangladesh,3531,1464
1950,6/21/20,0,Sri Lanka,0,11
108775,6/21/20,37,Bangladesh,3240,1425
176617,6/21/20,119,Pakistan,4951,3501
1067579,6/21/20,1022,Brazil,34666,49976
53758,6/21/20,89,Egypt,1547,2106
45029,6/21/20,56,Indonesia,1226,2429
410461,6/21/20,306,India,15413,13254
105535,6/20/20,45,Bangladesh,3243,1388
52211,6/20/20,79,Egypt,1774,2017
1032913,6/20/20,1206,Brazil,54771,48954
1950,6/20/20,0,Sri Lanka,3,11
395048,6/20/20,375,India,14516,12948
43803,6/20/20,34,Indonesia,1041,2373
171666,6/20/20,153,Pakistan,6604,3382
165062,6/19/20,136,Pakistan,4944,3229
978142,6/19/20,1238,Brazil,22765,47748
1947,6/19/20,0,Sri Lanka,23,11
50437,6/19/20,88,Egypt,1218,1938
42762,6/19/20,63,Indonesia,1331,2339
380532,6/19/20,336,India,13586,12573
102292,6/19/20,38,Bangladesh,3803,1343
955377,6/18/20,1269,Brazil,32188,46510
98489,6/18/20,43,Bangladesh,4008,1305
49219,6/18/20,84,Egypt,1363,1850
160118,6/18/20,118,Pakistan,5358,3093
366946,6/18/20,334,India,12881,12237
41431,6/18/20,45,Indonesia,1031,2276
1924,6/18/20,0,Sri Lanka,9,11
923189,6/17/20,1282,Brazil,34918,45241
40400,6/17/20,33,Indonesia,1106,2231
94481,6/17/20,53,Bangladesh,3862,1262
1915,6/17/20,0,Sri Lanka,10,11
47856,6/17/20,94,Egypt,1567,1766
154760,6/17/20,136,Pakistan,5839,2975
354065,6/17/20,2003,India,10974,11903
1905,6/16/20,0,Sri Lanka,16,11
148921,6/16/20,110,Pakistan,4443,2839
46289,6/16/20,97,Egypt,1691,1672
343091,6/16/20,380,India,10667,9900
888271,6/16/20,627,Brazil,20647,43959
90619,6/16/20,38,Bangladesh,3099,1209
39294,6/16/20,64,Indonesia,1017,2198
144478,6/15/20,97,Pakistan,5248,2729
867624,6/15/20,612,Brazil,17110,43332
1889,6/15/20,0,Sri Lanka,5,11
332424,6/15/20,325,India,11502,9520
87520,6/15/20,32,Bangladesh,3141,1171
38277,6/15/20,43,Indonesia,857,2134
44598,6/15/20,91,Egypt,1618,1575
850514,6/14/20,892,Brazil,21704,42720
37420,6/14/20,43,Indonesia,1014,2091
42980,6/14/20,62,Egypt,1676,1484
84379,6/14/20,44,Bangladesh,2856,1139
139230,6/14/20,81,Pakistan,6825,2632
320922,6/14/20,311,India,11929,9195
1884,6/14/20,0,Sri Lanka,4,11
132405,6/13/20,88,Pakistan,6472,2551
36406,6/13/20,48,Indonesia,1111,2048
828810,6/13/20,909,Brazil,25982,41828
41304,6/13/20,45,Egypt,1578,1422
1880,6/13/20,0,Sri Lanka,3,11
308993,6/13/20,386,India,11458,8884
81523,6/13/20,46,Bangladesh,3471,1095
802828,6/12/20,1239,Brazil,30412,40919
125933,6/12/20,107,Pakistan,6397,2463
35295,6/12/20,41,Indonesia,979,2000
39726,6/12/20,35,Egypt,1442,1377
78052,6/12/20,37,Bangladesh,3187,1049
297535,6/12/20,396,India,10956,8498
1877,6/12/20,0,Sri Lanka,8,11
38284,6/11/20,36,Egypt,1455,1342
74865,6/11/20,37,Bangladesh,3190,1012
772416,6/11/20,1274,Brazil,32913,39680
119536,6/11/20,101,Pakistan,5834,2356
286579,6/11/20,357,India,9996,8102
34316,6/11/20,36,Indonesia,1240,1959
1869,6/11/20,0,Sri Lanka,10,11
71675,6/10/20,45,Bangladesh,3171,975
113702,6/10/20,83,Pakistan,5385,2255
33076,6/10/20,40,Indonesia,1043,1923
1859,6/10/20,0,Sri Lanka,2,11
276583,6/10/20,279,India,9985,7745
